URL,Title
https://www.fiveacts.com.br/data-analytics/,title
https://www.alteryx.com/pt-br/glossary/data-analytics,title
https://www.cetax.com.br/blog/data-science-vs-big-data-vs-data-analytics/,title
https://www.mastersindatascience.org/learning/what-is-data-analytics/,title
https://soulpageit.com/5-types-of-data-analytics-and-their-prominence/,title
https://www.discoverdatascience.org/career-information/data-analyst/,title
https://www.rasmussen.edu/degrees/technology/blog/data-analytics-examples/,title
https://www.digitalhouse.com/br/produtos/dados/data-analytics,title
https://somostera.com/cursos/data-analytics,title
https://www.aquare.la/o-que-e-data-analytics/,title
https://deskmanager.com.br/blog/data-analytics/,title
https://qexpert.com.br/news/o-que-e-data-analytics/,title
https://www.oncase.com.br/blog/data-driven/o-que-e-data-analytics/,title
https://www.resilia.com.br/curso-data-analytics/,title
https://www.ironhack.com/br/data-analytics/6-motivos-para-aprender-sobre-data-analytics,title
https://www.pwc.com.br/pt/consultoria-negocios/data-analytics.html,title
https://www.mastersindatascience.org/learning/what-is-data-analytics/,title
https://www.investopedia.com/terms/d/data-analytics.asp,title
https://posdigital.pucpr.br/blog/diferenca-data-science-big-data-data-analytics,title
https://www.igti.com.br/trilhas-de-especializacao/data-analytics,title
https://www.zendesk.com.br/blog/data-analytics-o-que-e/,title
https://santodigital.com.br/big-data-analytics-voce-sabe-o-que-e/,title
https://www.totvs.com/blog/negocios/data-analytics/,title
https://blog.academiain1.com.br/entenda-a-diferenca-entre-big-data-e-data-analytics/,title
http://www.maximizasoftware.com.br/noticias/do-conceito-a-aplicacao-entenda-o-que-e-data-analytics/,title
https://under.com.br/data-analytics-por-que-voce-precisa-aplicar-na-sua-empresa-agora/,title
https://migreseunegocio.com.br/data-analytics-entenda-o-que/,title
https://www1.nyc.gov/site/analytics/index.page,title
https://pt.coursera.org/professional-certificates/google-data-analytics,title
https://www.datascy.com/,title
https://www.sas.com/en_us/insights/analytics/big-data-analytics.html,title
https://www.voitto.com.br/blog/artigo/big-data-analytics,title
https://www.ey.com/pt_br/strategy-transactions/ey-business-modeling-data-analytics/servicos-de-data-analytics,title
https://blog.compila.com.br/big-data-analytics/,title
https://dnc.group/blog/data-science/diferencas-data-analytics-e-data-science/,title
https://www.edx.org/learn/data-analysis,title
https://www.tibco.com/reference-center/what-is-data-analytics,title
https://www.oracle.com/br/business-analytics/data-analytics/,title
https://www.amazon.com.br/Data-Science-Big-Analytics-Discovering/dp/111887613X,title
https://www.digiage.com.br/inovacao-e-novas-tecnologias/o-que-e-big-data-analytics/,title
https://ebdicorp.com.br/encontros/data-analytics-innovation/,title
https://cloud.google.com/blog/products/data-analytics,title
https://www.simplilearn.com/tutorials/data-analytics-tutorial/what-is-data-analytics,title
https://analytics.google.com/analytics/web/,title
https://blog.neoway.com.br/big-data-analytics/,title
https://app.becas-santander.com/pt-BR/program/bolsas-santander-tecnologia-data-analytics-and-data-science,title
https://www.ludospro.com.br/blog/big-data-analytics,title
https://www.techtarget.com/searchdatamanagement/definition/data-analytics,title
https://online.hbs.edu/blog/post/data-analytics-vs-data-science,title
https://drew.edu/caspersen/data-analytics/,title
